"uf","codigo_ibge","municipio","tipo","status"
"RO","1101807","Vale do Paraíso","bandeira","revisao_pendente"
"AM","1300029","Alvarães","brasao","revisao_pendente"
"AM","1300029","Alvarães","bandeira","revisao_pendente"
"AM","1300060","Amaturá","brasao","revisao_pendente"
"AM","1300060","Amaturá","bandeira","revisao_pendente"
"AM","1300086","Anamã","brasao","nao_encontrado"
"AM","1300086","Anamã","bandeira","revisao_pendente"
"AM","1300102","Anori","brasao","revisao_pendente"
"AM","1300102","Anori","bandeira","revisao_pendente"
"AM","1300144","Apuí","brasao","revisao_pendente"
"AM","1300144","Apuí","bandeira","revisao_pendente"
"AM","1300201","Atalaia do Norte","brasao","revisao_pendente"
"AM","1300201","Atalaia do Norte","bandeira","revisao_pendente"
"AM","1300300","Autazes","brasao","revisao_pendente"
"AM","1300300","Autazes","bandeira","revisao_pendente"
"AM","1300409","Barcelos","brasao","nao_encontrado"
"AM","1300409","Barcelos","bandeira","revisao_pendente"
"AM","1300508","Barreirinha","brasao","nao_encontrado"
"AM","1300508","Barreirinha","bandeira","revisao_pendente"
"AM","1300607","Benjamin Constant","brasao","revisao_pendente"
"AM","1300607","Benjamin Constant","bandeira","revisao_pendente"
"AM","1300631","Beruri","brasao","nao_encontrado"
"AM","1300631","Beruri","bandeira","revisao_pendente"
"AM","1300680","Boa Vista do Ramos","brasao","nao_encontrado"
"AM","1300680","Boa Vista do Ramos","bandeira","revisao_pendente"
"AM","1300706","Boca do Acre","brasao","nao_encontrado"
"AM","1300706","Boca do Acre","bandeira","nao_encontrado"
"AM","1300805","Borba","brasao","revisao_pendente"
"AM","1300805","Borba","bandeira","revisao_pendente"
"AM","1300839","Caapiranga","brasao","revisao_pendente"
"AM","1300839","Caapiranga","bandeira","revisao_pendente"
"AM","1300904","Canutama","brasao","nao_encontrado"
"AM","1300904","Canutama","bandeira","revisao_pendente"
"AM","1301001","Carauari","brasao","revisao_pendente"
"AM","1301001","Carauari","bandeira","revisao_pendente"
"AM","1301100","Careiro","brasao","nao_encontrado"
"AM","1301100","Careiro","bandeira","revisao_pendente"
"AM","1301159","Careiro da Várzea","brasao","revisao_pendente"
"AM","1301159","Careiro da Várzea","bandeira","nao_encontrado"
"AM","1301209","Coari","brasao","revisao_pendente"
"AM","1301209","Coari","bandeira","revisao_pendente"
"AM","1301308","Codajás","brasao","revisao_pendente"
"AM","1301308","Codajás","bandeira","revisao_pendente"
"AM","1301407","Eirunepé","brasao","revisao_pendente"
"AM","1301407","Eirunepé","bandeira","revisao_pendente"
"AM","1301506","Envira","brasao","nao_encontrado"
"AM","1301506","Envira","bandeira","revisao_pendente"
"AM","1301605","Fonte Boa","brasao","revisao_pendente"
"AM","1301605","Fonte Boa","bandeira","revisao_pendente"
"AM","1301654","Guajará","brasao","revisao_pendente"
