"codigo_ibge","municipio","uf","tipo","status","arquivo_commons","pagina_origem","motivo","tentativas"
"1505205","Oeiras do Pará","PA","bandeira","nao_encontrado","","","",0
"1505403","Ourém","PA","brasao","nao_encontrado","","","",0
"1505494","Palestina do Pará","PA","brasao","nao_encontrado","","","",0
"1505494","Palestina do Pará","PA","bandeira","nao_encontrado","","","",0
"1505551","Pau D'Arco","PA","brasao","nao_encontrado","","","",0
"1505551","Pau D'Arco","PA","bandeira","nao_encontrado","","","",0
"1505601","Peixe-Boi","PA","brasao","nao_encontrado","","","",0
"1505601","Peixe-Boi","PA","bandeira","nao_encontrado","","","",0
"1505635","Piçarra","PA","brasao","nao_encontrado","","","",0
"1505635","Piçarra","PA","bandeira","nao_encontrado","","","",0
"1505908","Porto de Moz","PA","brasao","nao_encontrado","File:Brasão Porto de Moz, PA.png","","",0
"1505908","Porto de Moz","PA","bandeira","nao_encontrado","File:Brasão Porto de Moz, PA.png","","",0
"1506005","Prainha","PA","brasao","nao_encontrado","","","",0
"1506161","Rio Maria","PA","brasao","nao_encontrado","","","",0
"1506161","Rio Maria","PA","bandeira","nao_encontrado","","","",0
"1506195","Rurópolis","PA","brasao","nao_encontrado","","","",0
"1506401","Santa Cruz do Arari","PA","brasao","nao_encontrado","","","",0
"1506559","Santa Luzia do Pará","PA","brasao","nao_encontrado","","","",0
"1506583","Santa Maria das Barreiras","PA","brasao","nao_encontrado","","","",0
"1506583","Santa Maria das Barreiras","PA","bandeira","nao_encontrado","","","",0
"1506609","Santa Maria do Pará","PA","bandeira","nao_encontrado","","","",0
"1506906","Santarém Novo","PA","brasao","nao_encontrado","","","",0
"1506906","Santarém Novo","PA","bandeira","nao_encontrado","","","",0
"1507003","Santo Antônio do Tauá","PA","brasao","nao_encontrado","","","",0
"1507201","São Domingos do Capim","PA","brasao","nao_encontrado","","","",0
"1507201","São Domingos do Capim","PA","bandeira","nao_encontrado","","","",0
"1507409","São Francisco do Pará","PA","brasao","nao_encontrado","","","",0
"1507409","São Francisco do Pará","PA","bandeira","nao_encontrado","","","",0
"1507466","São João da Ponta","PA","brasao","nao_encontrado","","","",0
"1507466","São João da Ponta","PA","bandeira","nao_encontrado","","","",0
"1507474","São João de Pirabas","PA","brasao","nao_encontrado","","","",0
"1507474","São João de Pirabas","PA","bandeira","nao_encontrado","","","",0
"1507508","São João do Araguaia","PA","brasao","nao_encontrado","","","",0
"1507607","São Miguel do Guamá","PA","brasao","nao_encontrado","","","",0
"1507706","São Sebastião da Boa Vista","PA","brasao","nao_encontrado","","","",0
"1507755","Sapucaia","PA","brasao","nao_encontrado","","","",0
"1507755","Sapucaia","PA","bandeira","nao_encontrado","","","",0
"1507961","Terra Alta","PA","brasao","nao_encontrado","","","",0
"1507961","Terra Alta","PA","bandeira","nao_encontrado","","","",0
"1508001","Tomé-Açu","PA","bandeira","nao_encontrado","","","",0
"1508035","Tracuateua","PA","brasao","nao_encontrado","","","",0
"1508035","Tracuateua","PA","bandeira","nao_encontrado","","","",0
"1508050","Trairão","PA","brasao","nao_encontrado","","","",0
"1508357","Vitória do Xingu","PA","brasao","nao_encontrado","File:Brasao vitoria do xingu.gif","","",0
"1508357","Vitória do Xingu","PA","bandeira","nao_encontrado","File:Bandeira vitoria do xingu.gif","","",0
"1508407","Xinguara","PA","brasao","nao_encontrado","","","",0
"1600550","Pracuúba","AP","brasao","nao_encontrado","","","",0
"1600550","Pracuúba","AP","bandeira","nao_encontrado","","","",0
"1700301","Aguiarnópolis","TO","brasao","nao_encontrado","","","",0
"1700301","Aguiarnópolis","TO","bandeira","nao_encontrado","","","",0
"1700350","Aliança do Tocantins","TO","brasao","nao_encontrado","","","",0
"1700350","Aliança do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1700400","Almas","TO","brasao","nao_encontrado","","","",0
"1700400","Almas","TO","bandeira","nao_encontrado","","","",0
"1701101","Aparecida do Rio Negro","TO","brasao","nao_encontrado","","","",0
"1701101","Aparecida do Rio Negro","TO","bandeira","nao_encontrado","","","",0
"1701309","Aragominas","TO","brasao","nao_encontrado","","","",0
"1701309","Aragominas","TO","bandeira","nao_encontrado","","","",0
"1701903","Araguacema","TO","brasao","nao_encontrado","","","",0
"1702000","Araguaçu","TO","brasao","nao_encontrado","","","",0
"1702000","Araguaçu","TO","bandeira","nao_encontrado","","","",0
"1702158","Araguanã","TO","brasao","nao_encontrado","","","",0
"1702158","Araguanã","TO","bandeira","nao_encontrado","","","",0
"1702703","Aurora do Tocantins","TO","brasao","nao_encontrado","","","",0
"1702703","Aurora do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1702901","Axixá do Tocantins","TO","brasao","nao_encontrado","","","",0
"1703008","Babaçulândia","TO","bandeira","nao_encontrado","","","",0
"1703057","Bandeirantes do Tocantins","TO","brasao","nao_encontrado","","","",0
"1703057","Bandeirantes do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1703073","Barra do Ouro","TO","brasao","nao_encontrado","","","",0
"1703073","Barra do Ouro","TO","bandeira","nao_encontrado","","","",0
"1703107","Barrolândia","TO","brasao","nao_encontrado","","","",0
"1703107","Barrolândia","TO","bandeira","nao_encontrado","","","",0
"1703206","Bernardo Sayão","TO","brasao","nao_encontrado","","","",0
"1703206","Bernardo Sayão","TO","bandeira","nao_encontrado","","","",0
"1703305","Bom Jesus do Tocantins","TO","brasao","nao_encontrado","","","",0
"1703305","Bom Jesus do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1703602","Brasilândia do Tocantins","TO","brasao","nao_encontrado","","","",0
"1703602","Brasilândia do Tocantins","TO","bandeira","nao_encontrado","","","",0
"1703701","Brejinho de Nazaré","TO","brasao","nao_encontrado","","","",0
"1703701","Brejinho de Nazaré","TO","bandeira","nao_encontrado","","","",0
"1703826","Cachoeirinha","TO","bandeira","nao_encontrado","","","",0
"1703842","Campos Lindos","TO","brasao","nao_encontrado","","","",0
"1703842","Campos Lindos","TO","bandeira","nao_encontrado","","","",0
"1703867","Cariri do Tocantins","TO","brasao","nao_encontrado","","","",0
"1703867","Cariri do Tocantins","TO","bandeira","nao_encontrado","","","",0
