"codigo_ibge","municipio","uf","status","arquivo_commons","pagina_origem","motivo","tentativas"
"1715259","Novo Jardim","TO","nao_encontrado","","","",0
"1715705","Palmeirante","TO","nao_encontrado","","","",0
"1715754","Palmeirópolis","TO","nao_encontrado","","","",0
"1716307","Pau D'Arco","TO","nao_encontrado","","","",0
"1716653","Pequizeiro","TO","nao_encontrado","","","",0
"1717008","Pindorama do Tocantins","TO","nao_encontrado","","","",0
"1717206","Piraquê","TO","nao_encontrado","","","",0
"1717503","Pium","TO","rejeitado","File:BANDEIRA DE PIUM.svg","https://commons.wikimedia.org/wiki/File:BANDEIRA_DE_PIUM.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1717800","Ponte Alta do Bom Jesus","TO","nao_encontrado","","","",0
"1717909","Ponte Alta do Tocantins","TO","nao_encontrado","","","",0
"1718303","Praia Norte","TO","nao_encontrado","","","",0
"1718402","Presidente Kennedy","TO","nao_encontrado","","","",0
"1718451","Pugmil","TO","nao_encontrado","","","",0
"1718659","Rio da Conceição","TO","nao_encontrado","","","",0
"1718709","Rio dos Bois","TO","nao_encontrado","","","",0
"1718758","Rio Sono","TO","nao_encontrado","","","",0
"1718840","Sandolândia","TO","nao_encontrado","","","",0
"1718899","Santa Rita do Tocantins","TO","nao_encontrado","","","",0
"1718907","Santa Rosa do Tocantins","TO","rejeitado","File:BANDEIRA DE SANTA ROSA DO TOCANTINS.svg","https://commons.wikimedia.org/wiki/File:BANDEIRA_DE_SANTA_ROSA_DO_TOCANTINS.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"1719004","Santa Tereza do Tocantins","TO","nao_encontrado","","","",0
"1720259","São Salvador do Tocantins","TO","nao_encontrado","","","",0
"1720309","São Sebastião do Tocantins","TO","nao_encontrado","","","",0
"1720499","São Valério","TO","nao_encontrado","","","",0
"1720853","Sucupira","TO","nao_encontrado","","","",0
"1720937","Taipas do Tocantins","TO","nao_encontrado","","","",0
"1721109","Tocantínia","TO","nao_encontrado","","","",0
"1721307","Tupiratins","TO","nao_encontrado","","","",0
"2100105","Afonso Cunha","MA","nao_encontrado","","","",0
"2100154","Água Doce do Maranhão","MA","nao_encontrado","","","",0
"2100402","Altamira do Maranhão","MA","nao_encontrado","","","",0
"2100436","Alto Alegre do Maranhão","MA","nao_encontrado","","","",0
"2100709","Anajatuba","MA","nao_encontrado","","","",0
"2100808","Anapurus","MA","nao_encontrado","","","",0
"2101103","Axixá","MA","nao_encontrado","","","",0
"2101301","Bacuri","MA","nao_encontrado","","","",0
"2101350","Bacurituba","MA","nao_encontrado","","","",0
"2101707","Barreirinhas","MA","rejeitado","File:Bandeira de barreirinhas.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_barreirinhas.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2101731","Belágua","MA","nao_encontrado","","","",0
"2101939","Bernardo do Mearim","MA","nao_encontrado","","","",0
"2101970","Boa Vista do Gurupi","MA","nao_encontrado","","","",0
"2102150","Brejo de Areia","MA","nao_encontrado","","","",0
"2102200","Buriti","MA","rejeitado","File:Bandeira do Município de Burití.svg","https://commons.wikimedia.org/wiki/File:Bandeira_do_Munic%C3%ADpio_de_Burit%C3%AD.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2102374","Cachoeira Grande","MA","nao_encontrado","","","",0
"2102408","Cajapió","MA","rejeitado","File:Bandeira Cajapió.svg","https://commons.wikimedia.org/wiki/File:Bandeira_Cajapi%C3%B3.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2103901","Duque Bacelar","MA","nao_encontrado","","","",0
"2104073","Feira Nova do Maranhão","MA","nao_encontrado","","","",0
"2104099","Formosa da Serra Negra","MA","nao_encontrado","","","",0
"2104107","Fortaleza dos Nogueiras","MA","nao_encontrado","","","",0
"2104305","Godofredo Viana","MA","nao_encontrado","","","",0
"2104503","Governador Archer","MA","nao_encontrado","","","",0
"2104602","Governador Eugênio Barros","MA","nao_encontrado","","","",0
"2104628","Governador Luiz Rocha","MA","nao_encontrado","","","",0
"2104701","Graça Aranha","MA","nao_encontrado","","","",0
"2105203","Igarapé Grande","MA","nao_encontrado","","","",0
"2105351","Itaipava do Grajaú","MA","nao_encontrado","","","",0
"2105476","Jenipapo dos Vieiras","MA","nao_encontrado","","","",0
"2105658","Junco do Maranhão","MA","nao_encontrado","","","",0
"2105807","Lago do Junco","MA","nao_encontrado","","","",0
"2105906","Lago Verde","MA","nao_encontrado","","","",0
"2105948","Lago dos Rodrigues","MA","nao_encontrado","","","",0
"2105963","Lagoa Grande do Maranhão","MA","nao_encontrado","","","",0
"2105989","Lajeado Novo","MA","nao_encontrado","","","",0
"2106102","Loreto","MA","nao_encontrado","","","",0
"2106300","Magalhães de Almeida","MA","nao_encontrado","","","",0
"2106631","Matões do Norte","MA","desatualizado","File:Que fervo.. Matões do Norte MA.webm","https://commons.wikimedia.org/wiki/File:Que_fervo.._Mat%C3%B5es_do_Norte_MA.webm","Download pendente: Timeout awaiting 'request' for 15000ms | Download adiado para revisão após 3 falhas transitórias",3
"2106672","Milagres do Maranhão","MA","nao_encontrado","","","",0
"2107001","Montes Altos","MA","nao_encontrado","","","",0
"2107100","Morros","MA","nao_encontrado","","","",0
"2107258","Nova Colinas","MA","nao_encontrado","","","",0
"2107407","Olho d'Água das Cunhãs","MA","nao_encontrado","","","",0
"2107456","Olinda Nova do Maranhão","MA","nao_encontrado","","","",0
"2108058","Paulino Neves","MA","rejeitado","File:Bandeira paulino neves.jpg","https://commons.wikimedia.org/wiki/File:Bandeira_paulino_neves.jpg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2108256","Pedro do Rosário","MA","nao_encontrado","","","",0
"2108504","Pindaré-Mirim","MA","nao_encontrado","","","",0
"2108801","Pirapemas","MA","nao_encontrado","File:Bandeira de Pirapemas MA.png","","Mais de um candidato plausível encontrado no fallback",0
"2108900","Poção de Pedras","MA","nao_encontrado","","","",0
"2109205","Presidente Juscelino","MA","nao_encontrado","","","",0
"2109270","Presidente Sarney","MA","nao_encontrado","","","",0
"2109452","Raposa","MA","rejeitado","File:Bandeira de Raposa.svg","https://commons.wikimedia.org/wiki/File:Bandeira_de_Raposa.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2109551","Ribamar Fiquene","MA","nao_encontrado","","","",0
"2109700","Sambaíba","MA","nao_encontrado","","","",0
"2110039","Santa Luzia do Paruá","MA","nao_encontrado","","","",0
"2110104","Santa Quitéria do Maranhão","MA","nao_encontrado","","","",0
"2110237","Santana do Maranhão","MA","nao_encontrado","","","",0
"2110278","Santo Amaro do Maranhão","MA","nao_encontrado","","","",0
"2110302","Santo Antônio dos Lopes","MA","nao_encontrado","","","",0
"2110658","São Domingos do Azeitão","MA","nao_encontrado","","","",0
"2110807","São Félix de Balsas","MA","nao_encontrado","","","",0
"2110856","São Francisco do Brejão","MA","nao_encontrado","","","",0
"2110906","São Francisco do Maranhão","MA","nao_encontrado","","","",0
"2111003","São João Batista","MA","nao_encontrado","","","",0
"2111029","São João do Carú","MA","nao_encontrado","","","",0
"2111052","São João do Paraíso","MA","nao_encontrado","","","",0
"2111078","São João do Soter","MA","nao_encontrado","","","",0
"2111409","São Luís Gonzaga do Maranhão","MA","nao_encontrado","","","",0
"2111508","São Mateus do Maranhão","MA","nao_encontrado","","","",0
"2111532","São Pedro da Água Branca","MA","nao_encontrado","","","",0
"2111573","São Pedro dos Crentes","MA","nao_encontrado","","","",0
"2111631","São Raimundo do Doca Bezerra","MA","nao_encontrado","","","",0
"2111748","Senador Alexandre Costa","MA","nao_encontrado","","","",0
"2111789","Serrano do Maranhão","MA","nao_encontrado","","","",0
"2111805","Sítio Novo","MA","nao_encontrado","","","",0
"2112209","Timon","MA","nao_encontrado","File:Bandeira Timon.png","","",0
"2112274","Tufilândia","MA","nao_encontrado","","","",0
"2112852","Vila Nova dos Martírios","MA","nao_encontrado","","","",0
"2200202","Água Branca","PI","nao_encontrado","","","",0
"2200277","Alegrete do Piauí","PI","nao_encontrado","","","",0
"2200301","Alto Longá","PI","rejeitado","File:BANDEIRA DE ALTO LONGÁ - PI.svg","https://commons.wikimedia.org/wiki/File:BANDEIRA_DE_ALTO_LONG%C3%81_-_PI.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2200509","Amarante","PI","nao_encontrado","","","",0
"2200707","Anísio de Abreu","PI","nao_encontrado","","","",0
"2201002","Arraial","PI","nao_encontrado","","","",0
"2201176","Barra D'Alcântara","PI","nao_encontrado","","","",0
"2201309","Barreiras do Piauí","PI","nao_encontrado","","","",0
"2201408","Barro Duro","PI","nao_encontrado","","","",0
"2201556","Bela Vista do Piauí","PI","nao_encontrado","","","",0
"2201572","Belém do Piauí","PI","nao_encontrado","","","",0
"2201705","Bertolínia","PI","nao_encontrado","","","",0
"2201739","Betânia do Piauí","PI","nao_encontrado","","","",0
"2201804","Bocaina","PI","nao_encontrado","","","",0
"2201919","Bom Princípio do Piauí","PI","nao_encontrado","","","",0
"2201929","Bonfim do Piauí","PI","nao_encontrado","","","",0
"2201945","Boqueirão do Piauí","PI","nao_encontrado","","","",0
"2202000","Buriti dos Lopes","PI","nao_encontrado","","","",0
"2202026","Buriti dos Montes","PI","nao_encontrado","","","",0
"2202083","Cajueiro da Praia","PI","nao_encontrado","","","",0
"2202091","Caldeirão Grande do Piauí","PI","nao_encontrado","","","",0
"2202109","Campinas do Piauí","PI","nao_encontrado","","","",0
"2202117","Campo Alegre do Fidalgo","PI","nao_encontrado","","","",0
"2202133","Campo Grande do Piauí","PI","nao_encontrado","","","",0
"2202174","Campo Largo do Piauí","PI","nao_encontrado","","","",0
"2202251","Canavieira","PI","nao_encontrado","","","",0
"2202406","Capitão de Campos","PI","nao_encontrado","","","",0
"2202455","Capitão Gervásio Oliveira","PI","nao_encontrado","","","",0
"2202505","Caracol","PI","nao_encontrado","","","",0
"2202539","Caraúbas do Piauí","PI","nao_encontrado","","","",0
"2202554","Caridade do Piauí","PI","nao_encontrado","","","",0
"2202653","Caxingó","PI","nao_encontrado","","","",0
"2202729","Cocal dos Alves","PI","nao_encontrado","","","",0
"2202737","Coivaras","PI","nao_encontrado","","","",0
"2202752","Colônia do Gurguéia","PI","nao_encontrado","","","",0
"2202778","Colônia do Piauí","PI","nao_encontrado","","","",0
"2202802","Conceição do Canindé","PI","nao_encontrado","","","",0
"2202851","Coronel José Dias","PI","nao_encontrado","","","",0
"2203008","Cristalândia do Piauí","PI","nao_encontrado","","","",0
"2203206","Curimatá","PI","nao_encontrado","","","",0
"2203255","Curralinhos","PI","nao_encontrado","","","",0
"2203271","Curral Novo do Piauí","PI","nao_encontrado","","","",0
"2203305","Demerval Lobão","PI","nao_encontrado","","","",0
"2203420","Domingos Mourão","PI","nao_encontrado","","","",0
"2203453","Dom Inocêncio","PI","nao_encontrado","","","",0
"2203602","Eliseu Martins","PI","nao_encontrado","","","",0
"2203750","Fartura do Piauí","PI","nao_encontrado","","","",0
"2203800","Flores do Piauí","PI","nao_encontrado","","","",0
"2204006","Francinópolis","PI","nao_encontrado","","","",0
"2204204","Francisco Santos","PI","nao_encontrado","","","",0
"2204352","Geminiano","PI","nao_encontrado","","","",0
"2204659","Ilha Grande","PI","nao_encontrado","","","",0
"2204709","Inhuma","PI","nao_encontrado","","","",0
"2204808","Ipiranga do Piauí","PI","nao_encontrado","","","",0
"2204907","Isaías Coelho","PI","nao_encontrado","","","",0
"2205003","Itainópolis","PI","nao_encontrado","","","",0
"2205250","Jardim do Mulato","PI","nao_encontrado","","","",0
"2205300","Jerumenha","PI","nao_encontrado","","","",0
"2205359","João Costa","PI","nao_encontrado","","","",0
"2205516","Juazeiro do Piauí","PI","nao_encontrado","","","",0
"2205524","Júlio Borges","PI","nao_encontrado","","","",0
"2205532","Jurema","PI","nao_encontrado","","","",0
"2205540","Lagoinha do Piauí","PI","nao_encontrado","","","",0
"2205557","Lagoa Alegre","PI","nao_encontrado","","","",0
"2205573","Lagoa de São Francisco","PI","nao_encontrado","","","",0
"2205581","Lagoa do Piauí","PI","nao_encontrado","","","",0
"2205599","Lagoa do Sítio","PI","nao_encontrado","","","",0
"2205607","Landri Sales","PI","nao_encontrado","","","",0
"2205953","Marcolândia","PI","nao_encontrado","","","",0
"2206001","Marcos Parente","PI","nao_encontrado","","","",0
"2206050","Massapê do Piauí","PI","nao_encontrado","","","",0
"2206209","Miguel Alves","PI","rejeitado","File:Bandeira Oficial de Miguel Alves - PI.svg","https://commons.wikimedia.org/wiki/File:Bandeira_Oficial_de_Miguel_Alves_-_PI.svg","Validação automática de segurança: Imagem recusada pelo processador: Input image exceeds pixel limit",0
"2206308","Miguel Leão","PI","nao_encontrado","","","",0
"2206357","Milton Brandão","PI","nao_encontrado","","","",0
"2206506","Monsenhor Hipólito","PI","nao_encontrado","","","",0
"2206605","Monte Alegre do Piauí","PI","nao_encontrado","","","",0
"2206654","Morro Cabeça no Tempo","PI","nao_encontrado","","","",0
"2206670","Morro do Chapéu do Piauí","PI","nao_encontrado","","","",0
"2206720","Nazária","PI","nao_encontrado","","","",0
"2206753","Nossa Senhora de Nazaré","PI","nao_encontrado","","","",0
"2206902","Novo Oriente do Piauí","PI","nao_encontrado","","","",0
"2206951","Novo Santo Antônio","PI","nao_encontrado","","","",0
"2207108","Olho D'Água do Piauí","PI","nao_encontrado","","","",0
"2207207","Padre Marcos","PI","nao_encontrado","","","",0
"2207355","Pajeú do Piauí","PI","nao_encontrado","","","",0
"2207553","Paquetá","PI","nao_encontrado","","","",0
"2207603","Parnaguá","PI","nao_encontrado","","","",0
"2207751","Passagem Franca do Piauí","PI","nao_encontrado","","","",0
